,X Avg,Y Avf
T_179789,127.0344128,37.50080593
T_181393,127.0344289,37.50736908
T_179923,127.0345965,37.49051891
T_179880,127.0346438,37.49040521
T_181183,127.03466,37.5053448
T_180492,127.0347114,37.50024916
T_179573,127.0347184,37.49114815
T_167235,127.0347371,37.48240367
T_181186,127.034819,37.50538213
T_179574,127.0348199,37.49118789
T_167239,127.0348224,37.48302577
T_180751,127.0348246,37.51452001
T_180754,127.0348578,37.51443874
T_174260,127.0348731,37.48424537
T_172497,127.0348903,37.48349275
T_172498,127.0350734,37.48364506
T_180494,127.0352079,37.50016712
T_179942,127.0352171,37.51391705
T_179945,127.0352225,37.51497014
T_181503,127.0352425,37.50145874
T_178890,127.0352488,37.49952068
T_181184,127.0352722,37.50407064
T_181188,127.0353525,37.51273457
T_181505,127.0353732,37.50074249
T_181185,127.0354211,37.50412852
T_179947,127.0354376,37.51431221
T_179946,127.0354412,37.51360467
T_179967,127.0354504,37.49077915
T_175040,127.0354668,37.48483232
T_175043,127.0354739,37.48465223
T_179925,127.0354972,37.49066074
T_181391,127.0354999,37.50784864
T_149808,127.0355609,37.507707
T_179233,127.035575,37.4947625
T_150856,127.0356092,37.49467299
T_167234,127.0356137,37.48214453
T_172499,127.0356239,37.48274825
T_181194,127.0356432,37.51258835
T_179225,127.0356543,37.50006435
T_181189,127.035694,37.51173579
T_181499,127.0357391,37.50310237
T_179226,127.0357521,37.50010661
T_172500,127.0357937,37.48291569
T_181504,127.0358367,37.50198942
T_181502,127.0358863,37.50316973
T_179671,127.0359785,37.51349492
T_181500,127.0360566,37.5024438
T_179229,127.0361566,37.49940311
T_179975,127.0361957,37.50070703
T_181193,127.0362043,37.51133299
T_181501,127.0362091,37.50250495
T_179228,127.0362262,37.49946746
T_181190,127.0362684,37.51081874
T_179948,127.0362922,37.50049323
T_179966,127.0363088,37.49104114
T_179926,127.0363615,37.4909171
T_179956,127.0363759,37.50178593
T_179617,127.0363972,37.50375968
T_179610,127.0364327,37.50364504
T_175006,127.0364981,37.48496572
T_175007,127.036502,37.48478251
T_179977,127.0365316,37.50183437
T_181390,127.0366243,37.50818586
T_181395,127.0366904,37.50804415
T_167500,127.0366966,37.50112897
T_179976,127.0368536,37.50115856
T_180759,127.0368991,37.5087373
T_180478,127.0369765,37.49048521
T_179958,127.0369926,37.50232001
T_180760,127.0369975,37.50939429
T_179983,127.0370056,37.50242328
T_181191,127.0370244,37.50997864
T_179232,127.0370327,37.49520473
T_179973,127.0370336,37.50042374
T_180485,127.0370755,37.4905187
T_179237,127.0370789,37.49511808
T_179227,127.0370896,37.49924605
T_179230,127.0370976,37.49915502
T_181192,127.0371031,37.51020473
T_179982,127.0371902,37.50045264
T_179670,127.0372458,37.51385325
T_180479,127.0372708,37.48920939
T_180484,127.0373799,37.48923911
T_179974,127.0373842,37.4996758
T_181290,127.0374204,37.49138304
T_180480,127.0374449,37.48790247
T_180469,127.037469,37.49124644
T_179981,127.037542,37.49971577
T_180483,127.0375567,37.48792523
T_181396,127.0375623,37.50788276
T_175005,127.0375788,37.48510581
T_182221,127.0376,37.50847589
T_175008,127.0376009,37.48492777
T_181399,127.0376457,37.50794487
T_179996,127.0376467,37.50114317
T_182218,127.037728,37.50927426
T_159324,127.0377295,37.50092739
T_180481,127.0377576,37.48660454
T_179616,127.0378129,37.50436133
T_179611,127.0378336,37.50424157
T_179239,127.0378374,37.49871817
T_180482,127.0378684,37.48662389
T_181404,127.0378687,37.50220744
T_179979,127.0378885,37.50839937
T_181407,127.0379347,37.50231544
T_179244,127.0379882,37.49876669
T_181286,127.0379957,37.48552198
T_182217,127.0380668,37.5087881
T_179998,127.0381032,37.50918993
T_181287,127.0381055,37.48554022
T_181405,127.0382249,37.50155192
T_181621,127.038274,37.49968557
T_181406,127.0383051,37.50162154
T_179240,127.0383856,37.49755086
T_180507,127.0384051,37.50281911
T_179821,127.0384821,37.48631331
T_179231,127.0385043,37.49565535
